"Intercept","TPT","PP","JPM","IKK","APS","RRLS","PSAM","GR","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","TPT_SE","PP_SE","JPM_SE","IKK_SE","APS_SE","RRLS_SE","PSAM_SE","GR_SE","Intercept_TV","TPT_TV","PP_TV","JPM_TV","IKK_TV","APS_TV","RRLS_TV","PSAM_TV","GR_TV","Local_R2","LONG","LAT"
"1",-0.000110934834238654,-0.0116045011900008,0.000873284637973349,-0.000902345268911492,0.00742762615126739,0.0676114020446776,2.29402194751171,0.00452038188330958,0.472628868790594,-1.17666666666666,-1.16041111448061,-0.0162555521860517,0,-0.259615683737462,0.0138744623058485,0.0221628938453587,8.2834608546145e-05,0.000719547927944599,0.00569719606744841,0.0531047893239535,0.198929141556897,0.00377807613149028,2.07473725199109,-0.00799561322040508,-0.523600449967005,10.5425093846718,-1.25404470483163,1.3037336372722,1.27316957482365,11.5318546571799,1.19647718203246,0.227801794341437,0.994876673062385,97.0253,4.36855
"2",-0.000281043249694,-0.021977210877328,0.000881212402835281,-0.000861797015828313,0.00461265867598968,0.0610251849983365,2.29500125561596,0.00512998014482149,0.86607873522361,-1.09166666666667,-1.05759348828398,-0.0340731783826915,0,-0.52288594205365,0.0132638101817229,0.0239084674257438,8.69002904503894e-05,0.000814310731050668,0.00586894703087919,0.0486659687029046,0.192210240013652,0.00364775791592494,1.99364706171676,-0.0211887267567557,-0.919222904838462,10.1405000865717,-1.05831469851364,0.785943143074965,1.25396014144673,11.9400571762095,1.40633788290217,0.434419287071712,0.994126864482649,99.38122,2.19235
"3",-0.000969164112446755,-0.030600902266867,0.00090794970290923,-0.000756532163083641,0.000356312637342125,0.0524703330553161,2.23549443211887,0.00741791532843666,1.68321674204601,-1.03500000000001,-0.983026113280047,-0.0519738867199642,0,-0.679992275112494,0.0128960080349697,0.0246332098550238,8.36375162582582e-05,0.000767923986594618,0.00608547203522047,0.0440470522845368,0.184640380777518,0.00357535056556814,1.9509750182731,-0.0751522571805714,-1.24226207006579,10.8557707537086,-0.985165428206645,0.0585513556351781,1.19123369973469,12.1072888969641,2.07473790119317,0.862756686416162,0.99368222422815,100.0761,-1.34225
"4",-0.000811012336890217,-0.0279390828791194,0.000876769829186938,-0.000915173140910931,0.000275035119130931,0.0477003046403299,2.25838237231702,0.00766511681044983,1.84187303417818,-0.943333333333328,-0.98924970227613,0.0459163689428019,0,0.666863143543673,0.0127697247743968,0.0239379599101012,8.36259358172895e-05,0.000810572036719564,0.00598951875704915,0.0446253593515599,0.183933712149142,0.00355135310232574,1.961049708925,-0.0635105572922206,-1.16714552886062,10.4844247256324,-1.12904603101619,0.0459194019231074,1.06890578212593,12.2782406005367,2.15836516099456,0.939228121447186,0.9925592456063,101.54758,0.50041
"5",-0.00109889033213986,-0.0267180868079736,0.000908025186476966,-0.000810335739227738,-0.0012559921006947,0.057013940802539,2.17156952374555,0.00844217714983086,1.77186520333187,-1.17000000000002,-1.22625747014524,0.0562574701452274,0,0.780774323940987,0.0121991181926285,0.0220580481022619,7.33354502458806e-05,0.000487416865660373,0.00562886902399384,0.0430661288246764,0.175168779776956,0.00335067089505449,1.94036522611039,-0.0900794889260017,-1.21126251443952,12.3818042083675,-1.6625106686242,-0.223134007087544,1.32386964787675,12.3970123358205,2.51954829771295,0.91316066660487,0.991792568920694,102.7797,-1.61157
"6",-0.000316397068543361,-0.0165645451600208,0.000959528304378434,-0.000229775013116033,-0.000665390623420806,0.069234263501647,2.11691664790839,0.00620371821655408,0.773491348194042,-1.04333333333332,-1.02087060847369,-0.0224627248596279,0,-0.3371117806421,0.0117906904298593,0.0191112924292309,7.18101956648129e-05,0.000155456749390135,0.00534282548882149,0.0428650444984144,0.164741885687208,0.0029568312378944,1.83638888285553,-0.02683448186733,-0.866741232774251,13.3620065437115,-1.47806392464433,-0.124539089815486,1.61516835714956,12.8498993384581,2.09809681967911,0.421202369179716,0.99103379453074,104.09306,-3.12668
"7",-0.00113213032497014,-0.0277671700034436,0.00096148980777456,-0.0004857304113701,-0.00175427630159051,0.0642992294807763,2.11721278893684,0.00763685682093993,1.63814942160543,-1.21666666666667,-1.22612098711982,0.00945432045315386,0,0.130207429626192,0.0129213182691889,0.0213844977771261,7.83334105130894e-05,0.000326931621593775,0.00579609039654035,0.0458497245504198,0.174066192404509,0.00338093912059006,2.11220817713835,-0.0876172462735267,-1.29847192544988,12.2743258780223,-1.48572477939634,-0.302665448875267,1.40239074740935,12.1632624904938,2.25879749636163,0.775562484482388,0.992003829436956,102.53598,-3.51868
"8",-2.39366599577391e-05,0.00309633456412006,0.00104285397591316,-0.000134838415108042,-0.0022968255979022,0.0836790068945037,2.07401881406483,0.00226059218375609,-0.32177506721591,-1.23,-1.07495534100746,-0.155044658992547,0,-2.15671539263273,0.0129737096123923,0.0228795438850587,9.02844399074424e-05,0.000145093718754823,0.00611595776846452,0.0445994648382513,0.196254435515007,0.00299885220239292,1.94391223247819,-0.00184501277374632,0.13533200572858,11.5507608728843,-0.929319451353297,-0.375546346926271,1.87623343010913,10.5680098827944,0.753819138519817,-0.165529627233065,0.99088466930827,105.0273,-4.8555
"9",0.000403494415389734,0.0180254988144771,0.000964520726563411,-0.000230844788043076,0.00160478760462241,0.0797526016904149,2.16718028639704,0.00227326455516111,-2.06495004299956,-1.23666666666668,-1.21637108135056,-0.0202955853161211,0,-0.386984040741781,0.0144716319624392,0.0234605227419835,9.83641712669484e-05,0.000140038170202244,0.00582632592685065,0.0464976321356549,0.182997622184511,0.00298986306940455,2.23772962440575,0.0278817493726344,0.768333212892133,9.80561025564703,-1.64844190487271,0.275437321009925,1.71519705471754,11.8426691042572,0.760323968821035,-0.922787999264174,0.990339214014127,107.58394,-2.75775
"10",-0.000945450233087196,-0.0233407407867399,0.000866298018850356,-0.00134164541936216,-0.00241924792282493,0.0596322945111399,2.15816449875635,0.00921355514790514,1.7376109316093,-0.984999999999985,-1.07795074631321,0.0929507463132249,0,1.59541149269571,0.0134487791529339,0.0239342324436365,7.40743953781304e-05,0.000892354547424707,0.00597701551542519,0.0476346724012495,0.190461944866551,0.00410805600540402,2.07678018299678,-0.0703000787161368,-0.975203230005628,11.6949725263113,-1.5034891941035,-0.404758514777393,1.25186742146201,11.3312110735218,2.24280173780129,0.836685050173166,0.990618238784985,104.58037,-0.15478
